Ticker,Company Name,Sector,Industry,Exchange
RAJESHEXPO.NS,Rajesh Exports Limited,Consumer Cyclical,Luxury Goods,NSE
RAMCOCEM.NS,The Ramco Cements Limited,Basic Materials,Building Materials,NSE
RAMCOSYS.NS,Ramco Systems Limited,Technology,Software - Application,NSE
RAMKY.NS,Ramky Infrastructure Limited,Industrials,Engineering & Construction,NSE
RATNAMANI.NS,Ratnamani Metals & Tubes Limited,Basic Materials,Steel,NSE
RAYMOND.NS,Raymond Limited,Industrials,Specialty Industrial Machinery,NSE
RECLTD.NS,REC Limited,Financial Services,Credit Services,NSE
REDINGTON.NS,Redington Limited,Technology,Information Technology Services,NSE
RELAXO.NS,Relaxo Footwears Limited,Consumer Cyclical,Footwear & Accessories,NSE
RELIANCE.NS,Reliance Industries Limited,Energy,Oil & Gas Refining & Marketing,NSE
RENUKA.NS,Shree Renuka Sugars Limited,Consumer Defensive,Confectioners,NSE
REPCOHOME.NS,Repco Home Finance Limited,Financial Services,Mortgage Finance,NSE
RESPONIND.NS,Responsive Industries Limited,Basic Materials,Specialty Chemicals,NSE
RHL.NS,Robust Hotels Limited,Consumer Cyclical,Lodging,NSE
RICOAUTO.NS,Rico Auto Industries Limited,Consumer Cyclical,Auto Parts,NSE
RITES.NS,RITES Limited,Industrials,Engineering & Construction,NSE
ROSSARI.NS,Rossari Biotech Limited,Basic Materials,Specialty Chemicals,NSE
ROUTE.NS,Route Mobile Limited,Communication Services,Telecom Services,NSE
RPGLIFE.NS,RPG Life Sciences Limited,Healthcare,Drug Manufacturers - Specialty & Generic,NSE
RTNPOWER.NS,RattanIndia Power Limited,Utilities,Utilities - Independent Power Producers,NSE
RUBYMILLS.NS,The Ruby Mills Limited,Consumer Cyclical,Textile Manufacturing,NSE
RUCHINFRA.NS,Ruchi Infrastructure Limited,Industrials,Specialty Business Services,NSE
RUCHIRA.NS,Ruchira Papers Limited,Basic Materials,Paper & Paper Products,NSE
RVNL.NS,Rail Vikas Nigam Limited,Industrials,Engineering & Construction,NSE
SAIL.NS,Steel Authority of India Limited,Basic Materials,Steel,NSE
SANGHIIND.NS,Sanghi Industries Limited,Basic Materials,Building Materials,NSE
SANOFI.NS,Sanofi India Limited,Healthcare,Drug Manufacturers - General,NSE
SANSERA.NS,Sansera Engineering Limited,Consumer Cyclical,Auto Parts,NSE
SAREGAMA.NS,Saregama India Limited,Communication Services,Entertainment,NSE
SARLAPOLY.NS,Sarla Performance Fibers Limited,Consumer Cyclical,Textile Manufacturing,NSE
SATIN.NS,Satin Creditcare Network Limited,Financial Services,Credit Services,NSE
SBILIFE.NS,SBI Life Insurance Company Limited,Financial Services,Insurance - Life,NSE
SBIN.NS,State Bank of India,Financial Services,Banks - Regional,NSE
SCHAEFFLER.NS,Schaeffler India Limited,Consumer Cyclical,Auto Parts,NSE
SCI.NS,The Shipping Corporation of India Limited,Industrials,Marine Shipping,NSE
SETCO.NS,Setco Automotive Limited,Consumer Cyclical,Auto Parts,NSE
SFL.NS,Sheela Foam Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NSE
SHALBY.NS,Shalby Limited,Healthcare,Medical Care Facilities,NSE
SHALPAINTS.NS,Shalimar Paints Limited,Basic Materials,Specialty Chemicals,NSE
SHANKARA.NS,Shankara Building Products Limited,Consumer Cyclical,Home Improvement Retail,NSE
SHANTIGEAR.NS,Shanthi Gears Limited,Industrials,Specialty Industrial Machinery,NSE
SHARDACROP.NS,Sharda Cropchem Limited,Basic Materials,Agricultural Inputs,NSE
SHARDAMOTR.NS,Sharda Motor Industries Limited,Consumer Cyclical,Auto Parts,NSE
SHAREINDIA.NS,Share India Securities Limited,Financial Services,Capital Markets,NSE
SHIVALIK.NS,Shivalik Rasayan Limited,Basic Materials,Agricultural Inputs,NSE
SHREDIGCEM.NS,Shree Digvijay Cement Company Limited,Basic Materials,Building Materials,NSE
SHREECEM.NS,Shree Cement Limited,Basic Materials,Building Materials,NSE
SHREERAMA.NS,Shree Rama Multi-Tech Limited,Consumer Cyclical,Packaging & Containers,NSE
SHREYANIND.NS,Shreyans Industries Limited,Basic Materials,Paper & Paper Products,NSE
SHRIRAMFIN.NS,Shriram Finance Limited,Financial Services,Credit Services,NSE
SHRIRAMPPS.NS,Shriram Properties Limited,Real Estate,Real Estate - Development,NSE
SHYAMCENT.NS,Shyam Century Ferrous Limited,Basic Materials,Steel,NSE
SIEMENS.NS,Siemens Limited,Industrials,Specialty Industrial Machinery,NSE
SIL.NS,Standard Industries Limited,Consumer Cyclical,Textile Manufacturing,NSE
SILGO.NS,Silgo Retail Limited,Consumer Cyclical,Luxury Goods,NSE
