ticker,current_pe,forward_pe,market_cap,revenue,net_income,ebitda,gross_profit,roe,roa,roce,profit_margins,operating_margins,gross_margins,fcf_margin,fcf_to_net_income,gp_to_assets,asset_turnover,revenue_growth,earnings_growth,earnings_quarterly_growth,debt_to_equity,current_ratio,quick_ratio,dividend_yield,payout_ratio,beta,sector,industry
APARINDS.NS,39.397182,132.25064,370188713984,207457697792.0,9395000320.0,17451399168.0,43573600256.0,0.20971,0.09395,,0.045289997,0.07367,0.21004,,,,,0.231,0.296,0.298,14.499,1.495,0.821,0.56,0.2182,-0.429,Industrials,Electrical Equipment & Parts
APLAPOLLO.NS,45.745636,33.2758,480509001728,213259894784.0,10487900160.0,15835100160.0,32212099072.0,0.2481,0.10998,,0.04918,0.0747,0.15105,,,,,0.091,4.598,4.604,15.534,1.279,0.534,0.33,0.1522,0.279,Basic Materials,Steel
APOLLOHOSP.NS,63.03267,90.09191,1057032896512,232647000064.0,16718999552.0,31005999104.0,78890999808.0,0.19795,0.07553,,0.07186,0.114750005,0.3391,,,,,0.128,0.26,0.206,83.606,1.641,1.425,0.27,0.1634,0.141,Healthcare,Medical Care Facilities
APOLLOTYRE.NS,41.425144,24.875002,327921631232,267433902080.0,7927880192.0,32676139008.0,111773851648.0,0.05313,0.04775,,0.02964,0.0933,0.41794997,,,,,0.061,-0.13,-0.132,29.09,1.259,0.499,0.97,0.4003,0.232,Consumer Cyclical,Auto Parts
ASHOKLEY.NS,28.43761,20.291613,923722317824,509761585152.0,32588500992.0,108371902464.0,205100007424.0,0.23669,0.07854,,0.063930005,0.20024,0.40234002,,,,,0.128,0.075,0.071,327.886,1.349,0.512,1.98,0.5641,0.253,Industrials,Farm & Heavy Construction Machinery
ASIANPAINT.NS,71.1325,102.08923,2763757453312,343319511040.0,38959702016.0,57990598656.0,145625006080.0,0.20392,0.10356,,0.113479994,0.14048,0.42417,,,,,0.063,0.431,0.43,17.609,2.185,1.228,0.87,0.6104,0.363,Basic Materials,Specialty Chemicals
ASTERDM.NS,102.68405,71.14771,346077233152,43252301824.0,3313299968.0,7739800064.0,24043599872.0,0.087139994,0.05035,,0.0766,0.15346,0.55589,,,,,0.102,0.098,0.136,43.791,2.101,1.779,0.75,0.7669,-0.068,Healthcare,Medical Care Facilities
ASTRAL.NS,75.52576,47.995323,385915977728,60169998336.0,5093000192.0,9379000320.0,23502999552.0,0.13975,0.087139994,,0.08464,0.116960004,0.39061,,,,,0.151,0.224,0.225,6.769,1.803,0.782,0.26,0.19780001,0.228,Industrials,Building Products & Equipment
ASTRAMICRO.NS,55.957573,39.66583,90159775744,10807996416.0,1610899968.0,2819838976.0,4961695232.0,0.15033,0.09082,,0.14905,0.17601,0.45908,,,,,-0.065,-0.06,-0.059,23.894,3.153,1.698,0.24,0.12979999,0.064,Technology,Communication Equipment
ATGL.NS,107.07895,,671269060608,54655598592.0,6256999936.0,11063400448.0,16627600384.0,0.14863,0.07222,,0.114479996,0.16101,0.30423,,,,,0.191,-0.118,-0.119,44.513,0.609,0.51,0.04,0.043899998,0.572,Utilities,Utilities - Regulated Gas
