ticker,current_pe,forward_pe,market_cap,revenue,net_income,ebitda,gross_profit,roe,roa,roce,profit_margins,operating_margins,gross_margins,fcf_margin,fcf_to_net_income,gp_to_assets,asset_turnover,revenue_growth,earnings_growth,earnings_quarterly_growth,debt_to_equity,current_ratio,quick_ratio,dividend_yield,payout_ratio,beta,sector,industry,debtor_days,inventory_days,days_payable,cash_conversion_cycle,working_capital_days,screener_roce,fixed_assets_ratio,investment_ratio,screener_debt_to_equity,screener_opm,screener_dividend_payout
CARERATING.NS,31.131899,25.6,50001309696.0,4520513024,1609518976,1767635200.0,2428281088,,,,0.35604998,0.32688,0.53717,,,,,0.163,0.289,0.291,2.913,,,1.14,0.3552,0.349,Financial Services,Financial Data & Stock Exchanges,24.0,,,24.0,540.0,24.0,0.09255725190839695,0.27958015267175573,0.018579234972677595,47.0,
CARRARO.NS,28.020678,,31589558272.0,20930410496,1125939968,2000155008.0,5571870208,,,,0.053790003,0.076469995,0.26621,,,,,0.27,0.915,0.913,37.201,,,0.81,0.2297,,Consumer Cyclical,Auto Parts,58.0,83.0,97.0,44.0,33.0,22.0,0.3172995780590717,0.020253164556962026,0.3373015873015873,9.0,
CARTRADE.NS,40.8348,28.269846,77835132928.0,7452969984,1998727040,2060163200.0,4422217216,,,,0.26864,0.32849,0.59335,,,,,0.19,0.344,0.308,5.247,,,,0.0,0.083,Consumer Cyclical,Auto & Truck Dealerships,98.0,,,98.0,69.0,4.0,0.352603706972639,0.5803177405119153,0.0036199095022624436,36.0,
CARYSIL.NS,28.435417,23.019613,25484574720.0,8944100352,896700032,1623000064.0,4703499776,,,,0.10026,0.14674,0.52588004,,,,,0.096,0.696,0.682,42.1,,,0.27,0.0761,0.476,Consumer Cyclical,"Furnishings, Fixtures & Appliances",76.0,350.0,124.0,302.0,61.0,13.0,0.29971181556195964,0.043227665706051875,0.27816091954022987,21.0,
CASTROLIND.NS,19.144629,16.487545,183304159232.0,57271201792,9499299840,13420399616.0,27703699456,0.45466,0.22471,,0.16587,0.24937001,0.48373002,,,,,0.06,-0.099,-0.098,3.305,1.665,1.216,4.76,0.8854,0.34,Energy,Oil & Gas Refining & Marketing,30.0,68.0,98.0,0.0,-13.0,60.0,0.098379970544919,0.1304860088365243,0.03314045239347712,23.0,
CCCL.NS,5.09434,,7237503488.0,3241780992,635422016,-34411000.0,724193984,0.26556998,-0.0076800003,,0.19601,0.00056,0.22339001,,,,,1.495,,,0.108,1.625,1.172,,0.0,,Industrials,Engineering & Construction,,,,,,,0.15730337078651685,0.0898876404494382,0.0,-5.0,
CCHHL.NS,27.62745,,2303218176.0,986617984,82401000,209380496.0,704905984,,,,0.08352,-0.07033,0.71446997,,,,,0.427,,,7.499,,,,0.0,0.019,Consumer Cyclical,Lodging,39.53,1904.17,14.76,1928.94,-251.96,0.93,0.6904396644580083,0.0930247739661194,0.08753926134517491,-7.97,
CCL.NS,40.142097,29.90453,150514139136.0,40769708032,3754420992,6521218048.0,14415613952,,,,0.092089996,0.14102,0.35359,,,,,0.384,0.59,0.59,77.989,,,0.68,0.1776,-0.019,Consumer Defensive,Packaged Foods,90.0,205.0,45.0,250.0,19.0,10.0,0.35079726651480636,0.0926347760060744,0.6853754940711463,14.0,
CDSL.NS,55.94203,43.64173,266224205824.0,12245963776,4762181120,6711734784.0,12245963776,,,,0.38888,0.51916003,1.0,,,,,0.119,0.024,0.025,0.139,,,0.98,0.5485,0.232,Financial Services,Capital Markets,13.0,,,13.0,-88.0,47.0,0.1827848101265823,0.6237974683544304,0.0014194464158978,55.0,
CEATLTD.NS,19.947962,13.8028555,139178246144.0,148797292544,5536600064,16459174912.0,56736198656,,,,0.03721,0.09029,0.3813,,,,,0.26,0.607,0.604,67.986,,,0.87,0.1736,0.527,Consumer Cyclical,Auto Parts,42.0,66.0,132.0,-25.0,-53.0,21.0,,0.034912525158693294,0.0,13.0,
