ticker,current_pe,forward_pe,market_cap,revenue,net_income,ebitda,gross_profit,roe,roa,roce,profit_margins,operating_margins,gross_margins,fcf_margin,fcf_to_net_income,gp_to_assets,asset_turnover,revenue_growth,earnings_growth,earnings_quarterly_growth,debt_to_equity,current_ratio,quick_ratio,dividend_yield,payout_ratio,beta,sector,industry,debtor_days,inventory_days,days_payable,cash_conversion_cycle,working_capital_days,screener_roce,fixed_assets_ratio,investment_ratio,screener_debt_to_equity,screener_opm,screener_dividend_payout
20MICRONS.NS,9.7323475,,6274293248.0,9202146304,644288000,1173447936.0,4336886784,,,,0.07001,0.10623,0.47129002,,,,,0.001,0.162,0.16,35.637,,,0.71,0.0684,0.552,Basic Materials,Other Industrial Metals & Mining,58.0,113.0,52.0,118.0,48.0,19.0,0.3412698412698413,0.12380952380952381,0.3103448275862069,13.0,
360ONE.NS,35.64085,24.98687,422547030016.0,44772601856,12161699840,28223399936.0,32575600640,0.14392,0.07098,,0.27163,0.57660997,0.72758,,,,,0.269,0.11,0.157,161.977,13.022,2.515,1.74,0.4111,0.362,Financial Services,Asset Management,63.0,,,63.0,470.0,7.0,,0.8143767060964513,0.0,29.0,
3IINFOLTD.NS,5.8566666,,3644083968.0,7045799936,550899968,-237624992.0,684700032,,,,0.07819,-0.0287,0.09718,,,,,-0.051,-0.954,-0.947,10.763,,,,0.0,-0.461,Technology,Information Technology Services,46.0,,,46.0,-156.0,30.0,0.2948453608247423,0.22268041237113403,0.4050632911392405,6.0,
3MINDIA.NS,99.20317,50.560688,375859052544.0,48887488512,3783418880,9462075392.0,20700594176,,,,0.07739,0.17493999,0.42343,,,,,0.127,,,6.416,,,0.48,0.4764,0.215,Industrials,Conglomerates,65.0,89.0,104.0,50.0,38.0,38.0,0.154627539503386,0.0,0.06397515527950311,20.0,
5PAISA.NS,24.71223,22.161291,16103024640.0,2827401984,433976000,,2826481920,,,,0.15349,0.23244,0.99967,,,,,-0.11,-0.237,-0.24,46.389,,,,0.0,0.377,Financial Services,Capital Markets,0.0,,,0.0,-786.0,14.0,0.009703196347031963,0.00228310502283105,0.46411483253588515,32.0,
A2ZINFRA.NS,119.57143,,2948246272.0,3848508928,23833000,206873504.0,597683008,,,,0.00619,-0.01511,0.15529999,,,,,0.289,,,353.886,,,,0.0,0.207,Industrials,Engineering & Construction,466.0,,,466.0,-555.0,1.0,0.033003300330033,0.20462046204620463,9.571428571428571,1.0,
AAATECH.NS,40.41057,,1275112192.0,275755008,34145000,34348752.0,178580992,,,,0.12382,0.11416,0.64761,,,,,-0.31,-0.186,-0.197,,,,1.51,0.6106,0.347,Technology,Information Technology Services,128.81,,,128.81,113.4,16.02,0.030894782862139317,0.0,0.0,13.24,
AAREYDRUGS.NS,73.77049,,2551887360.0,3908960000,34350000,25026750.0,65464000,,,,0.00879,-0.024260001,0.01675,,,,,-0.279,-0.219,-0.207,38.267,,,,0.0,0.803,Healthcare,Drug Manufacturers - Specialty & Generic,103.0,36.0,81.0,58.0,89.0,6.0,0.08503401360544217,0.006802721088435374,0.34459459459459457,0.0,
AARON.NS,41.444443,,2890823424.0,887916992,72287000,164108992.0,319529984,,,,0.08141,0.16535,0.35986,,,,,0.265,0.128,0.124,72.439,,,0.43,0.17959999,-0.149,Industrials,Specialty Industrial Machinery,24.45,120.29,22.87,121.87,13.63,18.62,0.6452277409018082,0.0,0.7242314647377939,19.89,
AARTECH.NS,88.163635,,1540545536.0,339735008,17321000,53897752.0,194355008,,,,0.05098,0.29993,0.57208,,,,,-0.245,-0.69,-0.672,15.972,,,0.26,0.22729999,0.666,Industrials,Electrical Equipment & Parts,59.71,198.4,85.76,172.35,63.8,4.57,0.07754301895011981,0.2705292964495753,0.15794091839719218,3.78,
AARTIDRUGS.NS,17.058823,15.263158,34408787968.0,25217703936,2025784960,2990173184.0,8941546496,,,,0.08033,0.06164,0.35457,,,,,0.081,0.094,0.094,39.05,,,0.53,0.0452,0.236,Healthcare,Drug Manufacturers - Specialty & Generic,118.0,106.0,97.0,127.0,79.0,14.0,0.43207126948775054,0.023608017817371936,0.32811334824757643,12.0,
AARTIIND.NS,48.75,32.272705,184073715712.0,80293199872,3778700032,10759749632.0,26415499264,,,,0.047059998,0.08844,0.32898998,,,,,0.26,1.882,1.891,69.555,,,0.2,0.096099995,0.505,Basic Materials,Specialty Chemicals,43.0,119.0,105.0,56.0,-43.0,6.0,0.5692160445488558,0.011224223440355,0.6936921195177355,14.0,
AARTIPHARM.NS,31.73322,,67721338880.0,18005755904,2137475968,4019129600.0,9234777088,,,,0.118710004,0.17047001,0.51287997,,,,,-0.196,-0.352,-0.352,32.974,,,0.54,0.21219999,0.106,Healthcare,Drug Manufacturers - Specialty & Generic,114.0,226.0,103.0,236.0,118.0,17.0,0.489010989010989,0.014544279250161603,0.3462953231739359,24.0,
AARTISURF.NS,19.356365,,3462182912.0,8049067008,178768000,532558016.0,1350168064,,,,0.02221,0.03958,0.16774,,,,,0.276,3.547,3.585,49.926,,,0.25,0.0473,0.567,Basic Materials,Specialty Chemicals,42.0,92.0,63.0,71.0,36.0,9.0,0.4024390243902439,0.012195121951219513,0.4957983193277311,7.0,
AARVI.NS,11.961722,,1851337472.0,6220518912,159896000,207009504.0,1593170048,,,,0.0257,0.029260002,0.25612,,,,,0.272,0.692,0.673,24.178,,,1.6,0.1866,-0.099,Industrials,Staffing & Employment Services,76.0,,,76.0,39.0,10.0,0.08673469387755102,0.05102040816326531,0.32432432432432434,3.0,
ABB.NS,92.107605,69.32422,1538242904064.0,132027301888,16693999616,20347899904.0,51138498560,0.22391,0.09235,,0.12636,0.14962,0.38733003,,,,,0.057,-0.18,-0.181,1.082,2.049,1.629,0.54,0.5493,0.459,Industrials,Specialty Industrial Machinery,88.0,98.0,165.0,21.0,5.0,30.0,0.08762281859510192,0.00014664906877841325,0.010847371107708014,15.0,50.0
ABBOTINDIA.NS,35.42599,31.33993,539944779776.0,68241301504,15241299968,17991124992.0,31670300672,,,,0.22333999,0.25794,0.46409,,,,,0.068,0.042,0.042,4.549,,,1.87,0.66230005,0.014,Healthcare,Drug Manufacturers - Specialty & Generic,22.0,92.0,110.0,3.0,97.0,46.0,0.0551457674745346,0.0,0.04537521815008726,27.0,
ABCAPITAL.NS,26.05501,17.358408,906045554688.0,316110110720,34999300096,,85186002944,,,,0.11071999,0.15164,0.26948,,,,,0.314,0.327,0.335,459.779,,,,0.0,0.637,Financial Services,Financial Conglomerates,,,,,,,0.003158176348913235,0.09501934709271596,0.0,,
ABDL.NS,55.76803,44.50096,149281308672.0,38365401088,2659888896,5075784192.0,16777369600,,,,0.06933,0.11692,0.4373,,,,,0.03,0.161,0.157,66.738,,,0.68,0.37669998,,Consumer Defensive,Beverages - Wineries & Distilleries,181.0,191.0,201.0,171.0,67.0,21.0,0.14537902388369678,0.06178608515057113,0.6550435865504358,14.0,
ABINFRA.NS,42.567566,,10060933120.0,2440197120,201004992,403400992.0,508575008,,,,0.082370006,0.13009,0.20842,,,,,-0.008,0.105,0.161,58.087,,,0.03,0.0137,0.755,Industrials,Engineering & Construction,88.0,,,88.0,75.0,18.0,0.13028169014084506,0.0,0.2929936305732484,16.0,
ABSLAMC.NS,30.148367,22.708117,293721899008.0,20595099648,9750700032,13191700480.0,16028099584,0.25103,0.18661,,0.47345,0.51856,0.77825,,,,,-0.145,-0.181,-0.18,1.577,1.199,1.078,2.36,0.7126,0.239,Financial Services,Asset Management,10.0,,,10.0,-24.0,33.0,,0.9121019108280255,0.0,60.0,
ACC.NS,10.071029,12.488457,266263560192.0,247726407680,26498500608,29550075904.0,106077798400,,,,0.10697,0.06081,0.42821,,,,,0.094,-0.63,-0.63,2.435,,,0.53,0.0533,0.194,Basic Materials,Building Materials,20.0,84.0,71.0,33.0,7.0,18.0,0.37945242404405255,0.05287073048634911,0.024679421941787096,13.0,
ACCELYA.NS,16.070934,18.530352,17314463744.0,5375491072,1077437056,1704642048.0,3843041024,0.39095002,0.21795,,0.20044,0.22778,0.71492,,,,,-0.002,-0.569,-0.569,33.047,1.904,1.489,7.49,1.2466999,0.423,Technology,Information Technology Services,65.0,,,65.0,36.0,57.0,0.19294117647058823,0.20941176470588235,0.24031007751937986,35.0,
ACCURACY.NS,29.882353,,764844800.0,7462240256,26370000,276510016.0,398460000,,,,0.0035299999,0.02441,0.053400002,,,,,-0.38,-0.167,-0.294,111.931,,,,0.0,-0.293,Industrials,Integrated Freight & Logistics,56.0,26.0,75.0,7.0,17.0,8.0,0.20333333333333334,0.0033333333333333335,1.0495867768595042,3.0,
ACE.NS,24.908478,22.796392,105273262080.0,32119404544,4227386112,4940174848.0,10400106496,,,,0.13161,0.14137,0.3238,,,,,-0.023,0.043,0.042,8.005,,,0.23,0.0563,0.265,Industrials,Farm & Heavy Construction Machinery,30.0,82.0,130.0,-18.0,-20.0,40.0,0.2488247145735393,0.36265950302216254,0.07882882882882883,15.0,
ACI.NS,51.097973,23.26923,74692329472.0,11256843264,1464580992,2694638592.0,10713515008,,,,0.13011,0.12097,0.95172995,,,,,0.051,-0.505,-0.507,14.782,,,0.49,0.253,0.352,Basic Materials,Chemicals,62.0,,,62.0,92.0,16.0,0.47901341410644743,0.1678926871484206,0.06670113753877974,28.0,
ACMESOLAR.NS,37.53425,28.43396,182436429824.0,19624120320,4829790208,16168054784.0,19509770240,,,,0.24611,0.65278,0.99417,,,,,0.423,-0.105,0.015,271.784,,,0.07,0.0249,,Utilities,Utilities - Renewable,1.0,,,1.0,50.0,8.0,0.0008054772452678212,0.5976641159887233,0.6401039411000433,-2.0,
ADANIENSOL.NS,72.62148,39.6302,1615665037312.0,275880312832,22825400320,90843996160.0,131006603264,0.096599996,0.053260002,,0.08274,0.21996,0.47487,,,,,0.168,0.035,0.057,194.5,1.154,0.772,,0.0,0.602,Utilities,Utilities - Independent Power Producers,280.0,5.0,163.0,122.0,-55.0,5.0,,0.45632776171924094,0.0,4.0,
ADANIENT.NS,21.804613,54.22947,3304661188608.0,949951594496,132484399104,129211498496.0,460475301888,,,,0.14111,0.09146,0.48474,,,,,0.086,96.296,96.303,177.767,,,0.05,0.0114,0.542,Energy,Thermal Coal,31.0,37.0,185.0,-116.0,123.0,13.0,0.03722584469472436,0.37337623846218987,0.5912054199156334,10.0,
ADANIGREEN.NS,127.03819,39.920288,2027673878528.0,129280000000,16519999488,107679997952.0,122199998464,0.07576,0.03618,,0.12778,0.57025003,0.94524,,,,,0.131,2.803,0.726,339.503,0.569,0.324,,0.0,0.795,Utilities,Utilities - Renewable,53.0,152.0,76.0,129.0,-172.0,6.0,,0.5759028012149848,0.0,6.0,
ADANIPORTS.NS,29.053234,24.427378,3860283260928.0,364866306048,124914696192,211111772160.0,238497497088,0.19407,,,0.34236,0.45356998,0.65366,,,,,0.219,0.203,0.212,81.556,,,0.42,0.121300004,0.332,Industrials,Marine Shipping,60.0,,,60.0,-198.0,9.0,0.12020488349440182,0.5667677220939268,1.923084647052917,70.0,
ADANIPOWER.NS,37.962395,27.071934,4282745094144.0,578652798976,128342999040,234308698112.0,279301816320,0.20908001,0.09241,,0.2218,0.33468,0.48268002,,,,,0.123,0.916,0.523,82.332,1.411,0.994,,0.0,,Utilities,Utilities - Independent Power Producers,89.0,,,89.0,17.0,24.0,0.5182037272108468,0.03027209007119598,0.9400400985756652,38.0,
ADFFOODS.NS,36.065575,,29003988992.0,6455737856,804537984,1093204736.0,3790795008,,,,0.12462,0.16618,0.5872,,,,,0.295,0.193,0.193,10.727,,,0.45,0.16389999,0.207,Consumer Defensive,Packaged Foods,88.0,129.0,88.0,129.0,132.0,21.0,0.25826771653543307,0.2047244094488189,0.01818181818181818,24.0,
ADOR.NS,29.295391,13.683544,18812444672.0,11310699520,658700032,1026700032.0,4164699904,,,,0.05824,0.105299994,0.36821,,,,,0.052,0.73,0.734,0.4,,,2.24,0.5287,0.289,Industrials,Specialty Industrial Machinery,63.0,64.0,62.0,64.0,60.0,20.0,0.27808219178082194,0.050684931506849315,0.00398406374501992,9.0,
ADROITINFO.NS,21.73913,,572684288.0,459952992,23490000,3207250.0,201702000,,,,0.051069997,0.11027,0.43853,,,,,0.865,0.556,1.808,29.363,,,,0.0,-0.27,Technology,Information Technology Services,282.32,,,282.32,2190.0,-1.07,0.15653352800083428,0.12962769840442173,0.2983111849390919,-41.08,
ADSL.NS,19.998245,9.267479,6448246272.0,9044899840,318500000,600350016.0,1968600064,,,,0.03521,0.0856,0.21765,,,,,0.122,-0.257,-0.215,17.707,,,2.62,0.5263,0.495,Technology,Information Technology Services,95.0,110.0,224.0,-19.0,239.0,8.0,0.21287779237844942,0.11432325886990802,0.2053388090349076,4.0,
ADVANIHOTR.NS,21.32157,,5025881088.0,1047118016,236236992,311766240.0,567008000,,,,0.22561,0.38746,0.54148996,,,,,0.027,-0.093,-0.095,0.576,,,3.5,0.7451,-0.199,Consumer Cyclical,Lodging,2.0,93.0,109.0,-13.0,-45.0,45.0,0.3805309734513274,0.20353982300884957,0.0,30.0,
ADVENZYMES.NS,25.448528,22.329033,38737866752.0,7095690240,1522370048,1980452480.0,5140400128,,,,0.21455,0.22764999,0.72444,,,,,0.017,0.128,0.129,2.26,,,1.5,0.38259998,0.449,Basic Materials,Specialty Chemicals,81.0,260.0,58.0,283.0,151.0,20.0,0.20293724966622162,0.41255006675567424,0.0029806259314456036,23.0,
AEGISLOG.NS,32.04193,28.951523,246753001472.0,74438623232,7694579200,11703086080.0,16219978752,,,,0.103369996,0.14162,0.21790001,,,,,0.011,0.424,0.423,28.45,,,1.14,0.3648,0.61,Energy,Oil & Gas Refining & Marketing,39.0,25.0,34.0,30.0,-17.0,24.0,0.18113305613305614,0.17671517671517672,0.15376226826608505,13.0,
AEROFLEX.NS,79.79002,,40228552704.0,4077889024,491239008,811733760.0,1677558016,,,,0.120459996,0.18273,0.41138,,,,,0.211,0.085,0.084,2.584,,,0.1,0.0789,0.256,Industrials,Metal Fabrication,118.0,96.0,91.0,124.0,124.0,22.0,0.33043478260869563,0.06086956521739131,0.025069637883008356,22.0,
AETHER.NS,72.09331,52.105705,155819196416.0,10954109952,2157509888,3403729920.0,5387720192,,,,0.19695999,0.29429,0.49183998,,,,,0.444,0.486,0.486,9.242,,,,0.0,-0.079,Basic Materials,Specialty Chemicals,122.0,377.0,111.0,388.0,276.0,10.0,0.38836363636363636,0.03636363636363636,0.07139766334919947,33.0,
AFCONS.NS,27.628782,20.478788,124274425856.0,125578100736,4507899904,14075939840.0,41648500736,,,,0.0359,0.10649,0.33165002,,,,,-0.073,-0.353,-0.348,66.143,,,0.74,0.2044,,Industrials,Engineering & Construction,79.0,110.0,395.0,-207.0,60.0,23.0,0.14795947570259288,0.0011447541640432718,0.7259829752736117,12.0,
AFFLE.NS,45.63263,34.138496,199850328064.0,25871828992,4384019968,4829844992.0,7523840000,,,,0.16945,0.18098,0.29081,,,,,0.192,0.189,0.191,1.18,,,,0.0,0.201,Communication Services,Advertising Agencies,78.0,,,78.0,109.0,9.0,0.015151515151515152,0.3303872053872054,0.0015298317185109638,14.0,
AFFORDABLE.NS,44.58438,,2097645568.0,1511542016,44834000,130960000.0,544040000,,,,0.029660001,0.12226,0.35992,,,,,-0.421,,,69.146,,,,0.0,-0.103,Industrials,Specialty Industrial Machinery,194.0,,,194.0,102.0,8.0,0.08108108108108109,0.17567567567567569,0.4732142857142857,13.0,
AFSL.NS,7.319738,,10209360896.0,162334212096,1285474048,2120049280.0,3352803072,,,,0.00792,0.01764,0.020650001,,,,,4.073,0.277,0.236,57.54,,,,0.0,-0.081,Financial Services,Capital Markets,271.85,,,271.85,299.02,14.57,0.002974530581892545,0.9053727458635433,0.0018671811788137174,46.54,
AGARIND.NS,10.68409,37.77174,6237398016.0,20702846976,583556992,1422478464.0,1761976064,,,,0.02819,0.01835,0.085109994,,,,,-0.247,-0.899,-0.899,63.478,,,0.79,0.0846,0.12,Basic Materials,Specialty Chemicals,42.0,37.0,26.0,54.0,28.0,16.0,0.10014727540500737,0.08247422680412371,0.5186104218362283,3.0,
AGARWALEYE.NS,112.37373,79.146286,141046218752.0,19760900096,1260499968,4712625152.0,8421300224,,,,0.06379,0.14217,0.42616,,,,,0.23,0.472,0.51,48.682,,,,0.0,,Healthcare,Medical Instruments & Supplies,25.0,174.0,375.0,-176.0,-55.0,6.0,0.6220112517580872,0.23558368495077356,0.3011247443762781,24.0,
AGI.NS,11.720659,9.923982,40963145728.0,26277619712,3328805888,6362356224.0,17792884736,,,,0.12668,0.16816,0.67710996,,,,,-0.038,-0.211,-0.211,20.88,,,1.04,0.1361,-0.391,Consumer Cyclical,Packaging & Containers,54.0,215.0,153.0,116.0,39.0,20.0,,0.002972651605231867,0.0,23.0,
AGIIL.NS,57.30378,,49280221184.0,3501538048,839036032,1289613696.0,1769827968,,,,0.23962,0.39731,0.50544,,,,,-0.043,0.372,0.369,42.327,,,0.03,0.0146,-0.307,Real Estate,Real Estate - Development,2.0,,,2.0,86.0,22.0,0.22371541501976286,0.0,0.42433234421364985,34.0,
AGROPHOS.NS,12.955646,,651407360.0,1573698048,96876000,222417744.0,616707968,,,,0.06156,0.06407,0.39188,,,,,0.571,-0.631,-0.628,37.092,,,3.16,0.0,-0.219,Basic Materials,Agricultural Inputs,68.0,278.0,217.0,129.0,116.0,14.0,0.13836477987421383,0.031446540880503145,0.38235294117647056,13.0,
AHLADA.NS,25.653845,,603281472.0,1135592960,21852000,158233504.0,452993984,,,,0.01924,0.06421,0.39891,,,,,-0.071,-0.444,-0.447,26.993,,,3.53,0.884,0.485,Industrials,Building Products & Equipment,204.0,130.0,91.0,243.0,196.0,6.0,0.2995391705069124,0.0,0.26811594202898553,15.0,
AHLUCONT.NS,22.39479,18.342224,59886878720.0,44587556864,2671746048,4210006016.0,10575508480,,,,0.05992,0.06595,0.23719,,,,,0.114,0.092,0.092,3.881,,,0.07,0.015,0.403,Industrials,Engineering & Construction,70.0,69.0,172.0,-33.0,56.0,18.0,0.13807955409171524,0.0015201418799087915,0.03894080996884735,10.0,
AIAENG.NS,31.757896,29.795631,368708780032.0,43106414592,11621041152,11831905280.0,26249920512,,,,0.26959,0.24579,0.60896,,,,,0.001,0.135,0.136,13.852,,,0.41,0.1285,0.168,Industrials,Specialty Industrial Machinery,143.0,143.0,33.0,252.0,169.0,19.0,0.13179026924893716,0.5513698630136986,0.14437067382398644,29.0,
AIIL.NS,11.147464,,405080539136.0,32998799360,36334698496,,32568600576,,,,1.10109,0.78849,0.98696,,,,,-0.421,-0.701,-0.702,20.291,,,0.04,0.0069999998,-0.838,Financial Services,Capital Markets,,,,,,,0.01772268606259284,0.8190339599446806,0.0,,
AIRAN.NS,24.552238,,2056579072.0,1085805056,81646000,142065744.0,300667008,,,,0.07519,0.04694,0.27691,,,,,0.093,3.429,3.15,0.678,,,,0.0,0.481,Technology,Information Technology Services,73.64,,,73.64,107.89,11.07,0.4038788489389837,0.31591209621560357,0.0,13.1,
AIROLAM.NS,46.72222,,1261668224.0,2414635008,77787000,207351008.0,836536000,,,,0.03221,0.05868,0.34644002,,,,,0.292,0.274,0.279,117.642,,,,0.0,-0.628,Consumer Cyclical,"Furnishings, Fixtures & Appliances",105.0,218.0,92.0,231.0,70.0,8.0,0.2413793103448276,0.004310344827586207,1.0875,10.0,
AJANTPHARM.NS,34.81363,28.675165,353567801344.0,52016300032,10145599488,13795600384.0,39671300096,,,,0.19504999,0.24638,0.76267,,,,,0.2,0.179,0.176,5.698,,,1.98,0.3448,0.238,Healthcare,Drug Manufacturers - Specialty & Generic,104.0,267.0,132.0,238.0,116.0,33.0,0.3701778932640416,0.1782930241854887,0.0075096899224806205,26.0,
AJAXENGG.NS,27.135036,20.571148,59543019520.0,21006249984,2211300096,2606745088.0,5108120064,,,,0.105270006,0.096049994,0.24317,,,,,-0.209,-0.439,-0.439,0.043,,,,0.0,,Industrials,Farm & Heavy Construction Machinery,29.0,62.0,54.0,37.0,40.0,34.0,0.11994516792323509,0.4866346812885538,0.0007987220447284345,12.0,
AJMERA.NS,18.421053,5.037007,24107466752.0,8106049024,1194620032,2346274304.0,4019566080,,,,0.14737001,0.29755,0.49587002,,,,,-0.058,-0.282,-0.246,47.19,,,0.72,0.1353,0.417,Real Estate,Real Estate - Development,186.0,5565.0,327.0,5424.0,494.0,13.0,0.005002779321845469,0.07615341856586992,0.42581211589113255,39.0,
AJOONI.NS,21.15,,728590400.0,1522098048,49187000,71913752.0,307296000,0.05514,0.03576,,0.03232,0.03778,0.20188999,,,,,0.726,1.5,1.257,11.321,3.197,1.055,,0.0,0.442,Consumer Defensive,Packaged Foods,52.0,90.0,13.0,129.0,160.0,7.0,0.10576923076923077,0.028846153846153848,0.10112359550561797,4.0,
AKASH.NS,18.732395,,448543424.0,643940992,23888000,80209000.0,223174000,,,,0.037100002,0.13567,0.34658,,,,,-0.215,17.0,14.422,102.888,,,,0.0,0.561,Industrials,Engineering & Construction,2058.86,1241.81,869.82,2430.86,1123.41,2.74,0.013796263299903272,0.0038181540497887285,0.9882207067575945,16.61,
AKG.NS,59.473686,,359075328.0,989211008,6218000,10647000.0,74634000,0.01171,0.012309999,,0.00629,-0.027709998,0.07545,,,,,-0.386,-0.4,-0.32,15.716,,,,0.0,0.293,Industrials,Industrial Distribution,135.03,44.58,52.66,126.95,243.77,2.96,0.05013129625208881,0.01742659345905944,0.2198,0.6,
AKI.NS,13.657895,,535638912.0,947688000,22336000,53738752.0,177220000,,,,0.023570001,0.06653,0.187,,,,,0.131,0.375,0.516,26.026,,,,0.0,-0.191,Consumer Cyclical,Footwear & Accessories,132.21,201.57,135.75,198.03,168.04,4.54,0.09275318603423573,0.019530955433225243,0.300208962154632,-0.13,
AKUMS.NS,26.260162,22.230839,84068335616.0,42596691968,3181920000,4775092736.0,17016489984,,,,0.0747,0.09245,0.39948002,,,,,0.148,0.016,0.017,2.85,,,,0.0,,Healthcare,Drug Manufacturers - Specialty & Generic,57.0,92.0,100.0,49.0,47.0,16.0,0.1414401175606172,0.13445995591476856,0.01938474504846186,8.0,
AKZOINDIA.NS,6.954133,28.33776,136019804160.0,37601001472,19565000704,5405250048.0,15534000128,,,,0.52033,0.12967,0.41313,,,,,-0.136,-0.316,-0.316,3.157,,,0.0348,0.0698,0.091,Basic Materials,Specialty Chemicals,52.0,95.0,151.0,-3.0,22.0,42.0,,0.0,0.0,14.0,
ALANKIT.NS,11.756411,,2486519808.0,3274056960,211754000,142238496.0,849609024,,,,0.06468,0.04322,0.2595,,,,,-0.17,0.474,0.469,7.408,,,,0.0,0.573,Technology,Information Technology Services,166.0,141.0,791.0,-484.0,174.0,7.0,0.12668463611859837,0.40431266846361186,0.043343653250773995,13.0,
ALEMBICLTD.NS,7.4315624,,23700963328.0,2402160896,3187067904,985068032.0,1545843968,,,,1.32675,0.32284,0.64352,,,,,0.283,-0.082,-0.08,0.496,,,2.63,0.19319999,0.527,Real Estate,Real Estate - Development,47.0,,,47.0,58.0,18.0,0.1562156215621562,0.7755775577557755,0.005128205128205128,41.0,
ALICON.NS,31.960875,8.836478,11476630528.0,17007444992,360468992,1930645760.0,7934641152,,,,0.021189999,0.045900002,0.46653998,,,,,0.097,3.188,3.221,57.003,,,0.79,0.25030002,0.342,Industrials,Metal Fabrication,110.0,48.0,103.0,56.0,21.0,11.0,0.4490968801313629,0.013136288998357963,0.5678571428571428,12.0,
ALIVUS.NS,23.178837,20.26087,125829300224.0,25122600960,5436899840,7728482304.0,13840369664,,,,0.21641001,0.31449,0.55091,,,,,0.048,0.097,0.097,2.005,,,0.48,0.113000005,0.008,Healthcare,Drug Manufacturers - Specialty & Generic,148.0,237.0,137.0,248.0,201.0,25.0,0.26635514018691586,0.1742715777899945,0.01989389920424403,31.0,
ALKEM.NS,27.396812,28.517372,649178185728.0,142527004672,23712000000,28353050624.0,89673097216,,,,0.16636999,0.19615,0.62917,,,,,0.107,0.016,0.016,17.056,,,0.94,0.22690001,0.322,Healthcare,Drug Manufacturers - Specialty & Generic,65.0,196.0,188.0,72.0,128.0,20.0,0.09172156975078774,0.3082211400744772,0.06395901939260885,25.0,
ALKYLAMINE.NS,42.77101,32.219616,77283778560.0,15349907456,1806544000,2964177920.0,6973200896,,,,0.11769,0.13975,0.45428002,,,,,-0.046,-0.035,-0.034,,,,0.76,0.28350002,0.273,Basic Materials,Specialty Chemicals,54.0,75.0,80.0,48.0,42.0,19.0,0.5880022637238257,0.0,0.001386001386001386,18.0,
ALLCARGO.NS,20.489363,9.63,14423606272.0,161175306240,230200000,2488724992.0,12054500352,,,,0.00153,0.01938,0.07479,,,,,-0.874,,-1.0,58.456,,,,0.0,0.301,Industrials,Integrated Freight & Logistics,61.0,,,61.0,-68.0,5.0,0.0,0.9561011904761905,0.1583710407239819,9.0,
ALLDIGI.NS,17.484257,,12692763648.0,5901100032,726400000,1191900032.0,2416499968,,,,0.123100005,0.20618,0.4095,,,,,0.095,0.047,0.046,33.037,,,7.2,0.6293,0.209,Industrials,Specialty Business Services,57.0,,,57.0,8.0,34.0,0.24727272727272728,0.34545454545454546,0.22527472527472528,27.0,
ALMONDZ.NS,9.619884,,2856489216.0,1657575040,290547008,,831750016,,,,0.17528,0.17559999,0.50179,,,,,0.567,4.214,4.091,18.84,,,,0.0,0.168,Financial Services,Capital Markets,250.11,,,250.11,381.85,2.03,0.1467240848969548,0.5835127653029837,0.19795081967213116,18.66,
ALPA.NS,12.10145,12.6276,1405512192.0,1143332992,116089000,-2182750.0,299089984,,,,0.10154,0.029719999,0.26159,,,,,0.111,-0.787,-0.786,,,,,0.0,0.755,Healthcare,Drug Manufacturers - Specialty & Generic,155.0,92.0,97.0,150.0,108.0,15.0,0.0846774193548387,0.6330645161290323,0.010309278350515464,-1.0,
AMBER.NS,172.32487,54.035652,282237173760.0,117926535168,1598402944,8136482304.0,20179671040,,,,0.01355,0.05263,0.17111999,,,,,0.379,,,74.27,,,,0.0,0.022,Consumer Cyclical,"Furnishings, Fixtures & Appliances",64.0,75.0,159.0,-19.0,-48.0,12.0,0.27931701030927836,0.15335051546391754,0.6895133653187114,6.0,
AMBICAAGAR.NS,32.643833,,409337440.0,1498627968,6962000,91457504.0,377847008,,,,0.00465,0.05156,0.25213,,,,,0.499,1.955,0.493,74.724,,,,0.0,0.491,Consumer Defensive,Household & Personal Products,42.0,22.0,15.0,49.0,144.0,7.0,0.5758928571428571,0.049107142857142856,0.75,6.0,
AMBIKCO.NS,13.599599,12.0082035,8547997184.0,7021003776,628915968,861789504.0,2696198912,,,,0.08958,0.11472,0.38402,,,,,0.115,0.062,0.062,,,,2.48,0.3368,0.204,Consumer Cyclical,Textile Manufacturing,13.0,475.0,122.0,367.0,245.0,11.0,0.2471315092674316,0.02383053839364519,0.0,15.0,
AMBUJACEM.NS,29.65598,28.660427,1103134588928.0,394290790400,36944297984,62862876672.0,225783808000,,,,0.0937,0.038340002,0.57263,,,,,0.102,-0.905,-0.904,1.829,,,0.45,0.1336,0.053,Basic Materials,Building Materials,13.0,96.0,91.0,17.0,-51.0,9.0,0.22358021543756773,0.5056886990885334,0.015620394930739759,14.0,
AMJLAND.NS,8.48421,,1652300032.0,719507968,200286000,324178752.0,441656000,,,,0.27837,0.14009,0.61383,,,,,-0.206,-0.418,-0.423,,,,0.5,0.040999997,0.123,Real Estate,Real Estate - Development,0.0,,,0.0,254.0,11.0,0.1013215859030837,0.7665198237885462,0.0,78.0,
AMNPLST.NS,26.697412,,9077749760.0,5817008128,339856000,574589760.0,1861537024,,,,0.05842,0.078049995,0.32002,,,,,-0.253,-0.22,-0.223,11.324,,,0.31,0.0809,-0.311,Basic Materials,Chemicals,69.0,72.0,45.0,96.0,85.0,20.0,0.21293800539083557,0.0026954177897574125,0.11320754716981132,10.0,
